,Date,Open,High,Low,Close,Adj Close,Volume,return%,helper
0,2022-07-07,385.1199951171875,389.8299865722656,383.2699890136719,388.989990234375,387.39862060546875,64525900,1.0%,-44
1,2022-07-12,383.6499938964844,386.1600036621094,378.989990234375,380.8299865722656,379.2720031738281,62219200,-0.74%,-64
2,2022-07-26,393.8399963378906,394.05999755859375,389.95001220703125,390.8900146484375,389.2908630371094,52946400,-0.75%,-73
3,2022-08-05,409.6600036621094,414.1499938964844,409.6000061035156,413.4700012207031,411.7784729003906,56814900,0.93%,-68
4,2022-08-11,422.989990234375,424.95001220703125,419.2099914550781,419.989990234375,418.27178955078125,59489700,-0.71%,-50
5,2022-08-16,427.7300109863281,431.7300109863281,426.8800048828125,429.70001220703125,427.9421081542969,59289000,0.46%,-66
6,2022-08-19,424.9800109863281,425.260009765625,421.2200012207031,422.1400146484375,420.41302490234375,68016900,-0.67%,-60
7,2022-08-26,419.3900146484375,419.9599914550781,405.25,405.30999755859375,403.65185546875,103087000,-3.36%,-57
8,2022-08-29,402.20001220703125,405.8399963378906,401.20001220703125,402.6300048828125,400.98284912109375,65370800,0.11%,-39
9,2022-08-31,399.92999267578125,401.239990234375,395.0400085449219,395.17999267578125,393.56329345703125,76029700,-1.19%,-111
10,2022-09-07,390.42999267578125,398.5899963378906,390.20001220703125,397.7799987792969,396.1526794433594,70964200,1.88%,-34
11,2022-09-13,401.8299865722656,403.1000061035156,391.9200134277344,393.1000061035156,391.4918212890625,122947100,-2.17%,-29
12,2022-09-15,392.9599914550781,395.9599914550781,388.7799987792969,390.1199951171875,388.5240173339844,87633800,-0.72%,-54
13,2022-09-16,384.1400146484375,386.25,382.1099853515625,385.55999755859375,385.55999755859375,103084800,0.37%,-52
14,2022-09-19,382.260009765625,388.54998779296875,382.17999267578125,388.54998779296875,388.54998779296875,73278500,1.65%,-70
15,2022-09-20,385.05999755859375,386.1199951171875,381.20001220703125,384.0899963378906,384.0899963378906,77274900,-0.25%,-53
16,2022-09-22,376.5799865722656,378.29998779296875,373.44000244140625,374.2200012207031,374.2200012207031,89472600,-0.63%,-124
17,2022-09-27,368.0199890136719,370.3999938964844,360.8699951171875,363.3800048828125,363.3800048828125,108294100,-1.26%,-50
18,2022-09-28,364.3800048828125,372.29998779296875,362.6000061035156,370.5299987792969,370.5299987792969,110802200,1.69%,-58
19,2022-09-29,366.80999755859375,367.1099853515625,359.70001220703125,362.7900085449219,362.7900085449219,112952300,-1.1%,-49
20,2022-10-03,361.0799865722656,368.54998779296875,359.2099914550781,366.6099853515625,366.6099853515625,89756500,1.53%,-50
21,2022-10-04,372.3999938964844,378.0,366.57000732421875,377.9700012207031,377.9700012207031,103602800,1.5%,-52
22,2022-10-06,375.6199951171875,378.7200012207031,372.67999267578125,373.20001220703125,373.20001220703125,82333500,-0.64%,-57
23,2022-10-07,368.9700012207031,373.2900085449219,360.94000244140625,362.7900085449219,362.7900085449219,107789500,-1.67%,-42
24,2022-10-11,358.239990234375,363.0299987792969,355.7099914550781,357.739990234375,357.739990234375,92482800,-0.14%,-51
25,2022-10-13,349.2099914550781,367.510009765625,348.1099853515625,365.9700012207031,365.9700012207031,147254500,4.8%,-56
26,2022-10-14,368.54998779296875,370.260009765625,356.9599914550781,357.6300048828125,357.6300048828125,123737000,-2.96%,-50
27,2022-10-17,364.010009765625,367.9800109863281,357.2799987792969,366.82000732421875,366.82000732421875,93168200,0.77%,-37
28,2022-10-19,368.989990234375,371.8500061035156,365.54998779296875,368.5,368.5,79746900,-0.13%,-62
29,2022-10-21,365.1199951171875,374.79998779296875,363.5400085449219,374.2900085449219,374.2900085449219,131038400,2.51%,-139
30,2022-10-25,378.7900085449219,385.25,378.6700134277344,384.9200134277344,384.9200134277344,78846300,1.62%,-55
31,2022-10-27,383.07000732421875,385.0,379.3299865722656,379.9800109863281,379.9800109863281,81971800,-0.81%,-60
32,2022-10-31,386.44000244140625,388.3999938964844,385.260009765625,386.2099914550781,386.2099914550781,96631300,-0.06%,-43
33,2022-11-02,383.8999938964844,388.6300048828125,374.760009765625,374.8699951171875,374.8699951171875,126990400,-2.35%,-118
34,2022-11-04,377.0,378.8699951171875,370.0,376.3500061035156,376.3500061035156,103505200,-0.17%,-52
35,2022-11-08,381.1099853515625,385.1199951171875,377.7200012207031,382.0,382.0,84641100,0.23%,-105
36,2022-11-09,379.92999267578125,381.1400146484375,373.6099853515625,374.1300048828125,374.1300048828125,78495500,-1.53%,-94
37,2022-11-10,388.04998779296875,395.0400085449219,385.6400146484375,394.69000244140625,394.69000244140625,141455800,1.71%,-58
38,2022-11-11,395.5899963378906,399.3500061035156,393.6099853515625,398.510009765625,398.510009765625,93839900,0.74%,-60
39,2022-11-15,401.1499938964844,402.30999755859375,394.489990234375,398.489990234375,398.489990234375,93194500,-0.66%,-42
